image_url,name,publisher,description,category,tags,price,review_score,review_count,stock_quantity,date_added
https://example.com/images/ultra_yoga_mat_430.jpg,Ultra Yoga Mat 430,BrightLeaf Publishing,"The Ultra Yoga Mat 430 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,rechargeable lightweight compact newarrival bestseller,758.15,4.15,9359,1043,2021-06-03
https://example.com/images/classic_backpack_167.jpg,Classic Backpack 167,BrightLeaf Publishing,"The Classic Backpack 167 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,premium durable modern versatile newarrival,15.08,2.23,20,1123,2020-08-15
https://example.com/images/portable_bluetooth_speaker_488.jpg,Portable Bluetooth Speaker 488,UrbanNest,"The Portable Bluetooth Speaker 488 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,durable wireless bestseller newarrival lightweight,256.36,2.76,5144,1406,2018-05-12
https://example.com/images/advanced_gaming_mouse_316.jpg,Advanced Gaming Mouse 316,UrbanNest,"The Advanced Gaming Mouse 316 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,newarrival giftable wireless bestseller essential,76.85,4.59,3235,1420,2016-08-21
https://example.com/images/portable_gaming_mouse_352.jpg,Portable Gaming Mouse 352,BlueRiver Outfitters,"The Portable Gaming Mouse 352 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,newarrival durable lightweight essential wireless,235.86,4.16,5747,906,2018-12-03
https://example.com/images/smart_yoga_mat_320.jpg,Smart Yoga Mat 320,Summit Gear Co.,"The Smart Yoga Mat 320 by Summit Gear Co. delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,versatile compact modern waterproof lightweight,635.04,1.87,8267,729,2023-05-26
https://example.com/images/advanced_gaming_mouse_342.jpg,Advanced Gaming Mouse 342,UrbanNest,"The Advanced Gaming Mouse 342 by UrbanNest delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,durable wireless waterproof compact giftable,311.24,4.32,592,1020,2020-09-30
https://example.com/images/portable_office_chair_492.jpg,Portable Office Chair 492,SilverLine Electronics,"The Portable Office Chair 492 by SilverLine Electronics delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,versatile wireless rechargeable bestseller ergonomic,467.06,3.46,2428,1331,2019-11-24
https://example.com/images/smart_gaming_mouse_601.jpg,Smart Gaming Mouse 601,BrightLeaf Publishing,"The Smart Gaming Mouse 601 by BrightLeaf Publishing delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the home & kitchen category, offering a strong balance of value and functionality.",Home & Kitchen,versatile essential waterproof ergonomic wireless,316.6,2.06,4105,1520,2018-12-13
https://example.com/images/professional_graphic_t-shirt_152.jpg,Professional Graphic T-Shirt 152,Maple Street Press,"The Professional Graphic T-Shirt 152 by Maple Street Press delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the clothing category, offering a strong balance of value and functionality.",Clothing,durable wireless waterproof lightweight limitededition,392.18,1.15,8660,1926,2025-03-15
https://example.com/images/professional_led_desk_lamp_491.jpg,Professional LED Desk Lamp 491,Horizon Tech,"The Professional LED Desk Lamp 491 by Horizon Tech delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the office supplies category, offering a strong balance of value and functionality.",Office Supplies,bestseller waterproof versatile lightweight rechargeable,177.73,3.29,21,404,2025-03-20
https://example.com/images/professional_led_desk_lamp_363.jpg,Professional LED Desk Lamp 363,SilverLine Electronics,"The Professional LED Desk Lamp 363 by SilverLine Electronics delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the electronics category, offering a strong balance of value and functionality.",Electronics,rechargeable lightweight essential giftable durable,181.82,3.91,7031,1585,2019-04-30
https://example.com/images/professional_gaming_mouse_219.jpg,Professional Gaming Mouse 219,Maple Street Press,"The Professional Gaming Mouse 219 by Maple Street Press delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,portable ergonomic versatile limitededition premium,226.9,2.02,3321,16,2018-08-23
https://example.com/images/compact_external_hard_drive_394.jpg,Compact External Hard Drive 394,BlueRiver Outfitters,"The Compact External Hard Drive 394 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,giftable durable bestseller essential waterproof,189.89,4.97,1715,1911,2025-12-25
https://example.com/images/smart_science_fiction_novel_619.jpg,Smart Science Fiction Novel 619,Summit Gear Co.,"The Smart Science Fiction Novel 619 by Summit Gear Co. delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the books category, offering a strong balance of value and functionality.",Books,portable wireless lightweight giftable limitededition,777.92,1.22,4852,735,2021-01-24
https://example.com/images/portable_stainless_steel_water_bottle_841.jpg,Portable Stainless Steel Water Bottle 841,Horizon Tech,"The Portable Stainless Steel Water Bottle 841 by Horizon Tech delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the electronics category, offering a strong balance of value and functionality.",Electronics,modern durable giftable portable compact,175.88,1.89,5118,913,2017-01-25
https://example.com/images/professional_stainless_steel_water_bottle_830.jpg,Professional Stainless Steel Water Bottle 830,BlueRiver Outfitters,"The Professional Stainless Steel Water Bottle 830 by BlueRiver Outfitters delivers dependable performance with quality materials and thoughtful design. It is well suited for everyday use in the sports & outdoors category, offering a strong balance of value and functionality.",Sports & Outdoors,ergonomic modern waterproof essential giftable,221.44,1.61,5402,1504,2025-12-28
